,Item_ID,Weight,FatContent,Visibility,Category,Max_Price,Store_ID,Store_Establishment_Year,Store_Size,Store_Location_Type,Store_Type,Predicted_Sales
0,FDW58,20.75,Low_Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1792.5395322726736
4,FDY38,12.35,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,5109.745439012899
5,FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,1940.155228801823
6,FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.49288742079625
7,FDC48,12.35,Low_Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,2756.14612874704
12,NCC54,12.35,Low_Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,1946.9664888618054
13,FDU11,4.785,Low_Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,2106.6934506843754
14,DRL59,16.75,Low_Fat,0.021206464,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,764.5446864040523
15,FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,2570.917160483221
17,DRC12,17.85,Low_Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,2719.968667486618
18,NCM42,12.35,Low_Fat,0.028184344,Household,109.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3165.321451003534
20,FDA31,7.1,Low_Fat,0.109920138,Fruits and Vegetables,175.00799999999995,OUT013,1987,High,Tier 3,Supermarket Type1,2881.06013159149
21,NCJ31,19.2,Low_Fat,0.182619235,Others,239.9196,OUT035,2004,Small,Tier 2,Supermarket Type1,3802.611160427339
22,FDG52,13.65,Low_Fat,0.06563084400000001,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,718.40558637297
23,NCL19,12.35,Low_Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,335.8391428644245
24,FDS10,19.2,Low_Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,2959.220159391579
26,NCF19,13.0,Low_Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,808.1347994755452
27,NCE06,5.825,Low_Fat,0.091485232,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,2561.918344598982
28,DRC27,13.8,Low_Fat,0.058102469,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,3834.431817427171
29,FDE21,12.8,Low_Fat,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.4818024977121
30,NCR42,12.35,Low_Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,-1446.4497312589283
31,FDX51,9.5,Regular,0.022148582000000003,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,2912.4634144068596
32,NCR06,12.5,Low_Fat,0.006792706999999999,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,353.92501496701516
33,FDU31,12.35,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,Tier 3,Supermarket Type3,5014.168899127859
35,FDR03,12.35,Regular,0.008693632,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4797.772429337989
36,FDS49,12.35,Low_Fat,0.078961284,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,2742.4590062801763
39,NCD43,12.35,Low_Fat,0.01594238,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type3,3068.569723686008
40,NCD54,21.1,Low_Fat,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1920.0401153986777
43,NCL19,15.35,Low_Fat,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,1973.5990457464322
45,FDC26,10.195,Low_Fat,0.126277921,Canned,112.1886,OUT013,1987,High,Tier 3,Supermarket Type1,1812.600692727934
47,NCS41,12.85,Low_Fat,0.053433908,Health and Hygiene,183.2608,OUT035,2004,Small,Tier 2,Supermarket Type1,3063.8417696098604
48,FDF41,12.15,Low_Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,4036.644948088344
49,FDU34,18.25,Low_Fat,0.07519492900000001,Snack Foods,124.9046,OUT046,1997,Small,Tier 1,Supermarket Type1,1946.268030380651
50,DRH11,5.98,Low_Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,876.3763920922038
51,FDM03,12.65,Low_Fat,0.122928415,Meat,106.6938,OUT013,1987,High,Tier 3,Supermarket Type1,1721.6812350916543
54,FDV44,12.35,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,Tier 3,Supermarket Type3,4540.373754571071
55,FDG02,7.855,Low_Fat,0.011278673,Canned,188.8188,OUT049,1999,Medium,Tier 1,Supermarket Type1,3202.581543074728
56,FDA09,13.35,Regular,0.0,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,2908.8397507790296
57,FDT04,17.25,Low_Fat,0.106952661,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,544.0750423690079
58,FDL58,12.35,Regular,0.129825457,Snack Foods,263.2568,OUT019,1985,Small,Tier 1,Grocery Store,2304.9715425495706
60,FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,Tier 2,Supermarket Type1,2457.8674914502353
62,NCY42,12.35,Low_Fat,0.015089147,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type3,3680.7668196001096
65,FDB35,12.35,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2840.1664411995916
67,NCL06,14.65,Low_Fat,0.072066634,Household,262.5594,OUT046,1997,Small,Tier 1,Supermarket Type1,4146.068560360653
68,FDI35,14.0,Low_Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,Tier 3,Supermarket Type1,2860.6907758815214
70,NCX06,17.6,Low_Fat,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,2930.4590202434156
71,FDC37,12.35,Low_Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,Tier 3,Supermarket Type3,3187.0772284477325
72,FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1628.3971182260002
73,DRG49,7.81,Low_Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,4017.1121163838043
76,FDV21,12.35,Low_Fat,0.29954415300000004,Snack Foods,124.8704,OUT019,1985,Small,Tier 1,Grocery Store,2.587541976139619
77,FDB53,13.35,Low_Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,Tier 1,Supermarket Type1,2318.4560869737725
78,DRP47,12.35,Low_Fat,0.246178257,Hard Drinks,252.4382,OUT019,1985,Small,Tier 1,Grocery Store,2028.2701129630068
